她	tan
魃	bagyo
鲃	baybo
鲅	bayyo
菝	bacyo
朳	bambo
殡	bbdbo
濒	bbdyo
摈	bbfbo
玢	bbwfo
槟	bbmbo
抱	bcfbo
堡	bcrto
煲	bcrho
暴	bcouo
刨	bcbdo
褒	bcymo
胞	bcobo
葆	bccmo
苞	bccbo
鸨	bcbno
炮	bchbo
雹	bcybo
龅	bcvbo
趵	bczuo
掰	bduuo
捭	bdfuo
伯	bdrbo
夯	bfdlo
迸	bgzko
榜	bhmfo
梆	bhmeo
搒	bhffo
鼻	bizwo
避	bizxo
臂	biuoo
弊	bixco
璧	biuyo
敝	bixwo
匕	bipvo
毙	bibbo
俾	biruo
鄙	bikeo
吡	bikbo
弼	bigbo
痹	bibwo
妣	binbo
髀	biguo
屄	biubo
箅	bivwo
滗	bidmo
嬖	biuno
芘	bicbo
沘	bidbo
裨	bipuo
篦	bivbo
邲	bibeo
萆	bicuo
薜	bicxo
跸	bizuo
珌	biwbo
辟	biuxo
佖	birbo
荸	biczo
筚	bivuo
佛	birfo
觱	biwyo
馝	bihbo
鲾	biyto
坒	bibto
拌	bjfbo
斑	bjwwo
扮	bjffo
扳	bjfyo
癍	bjbwo
柈	bjmbo
攽	bjfwo
瘢	bjbuo
𨭉	bjwjo
秉	bkqro
屏	bkuko
槟	bkmbo
邴	bkbeo
栟	bkmko
遍	bmzco
辨	bmxlo
卞	bmwbo
煸	bmhco
弁	bmsco
辫	bmxso
萹	bmcco
忭	bmxbo
碥	bmuco
𨚕	bmseo
杓	bnmuo
镳	bnjho
骉	bnmmo
熛	bnhuo
幖	bnjuo
俵	bnryo
飑	bnfbo
脿	bnoyo
拨	bofyo
搏	bofco
勃	boulo
钵	bojbo
亳	bowqo
柏	bombo
孛	bouzo
钹	bojyo
渤	bodlo
镈	bojco
僰	bouro
擘	bouuo
浡	bodzo
舶	bovbo
嶓	bouto
膊	booco
哱	bokzo
砵	boubo
踣	bozko
簸	bovpo
菠	bocpo
鹁	bouno
檗	boumo
蕃	bocto
艴	bofbo
趵	bozuo
礴	bouco
欂	bomco
𬭛	bojpo
鳖	bpxyo
蹩	bpxzo
癿	bpbvo
簿	buvco
卜	buldo
哺	bukfo
瓿	bulwo
埔	butfo
埗	butuo
𬷕	bufno
贝	bwkro
辈	bwfio
邶	bwbeo
孛	bwuzo
碚	bwuko
琲	bwwfo
惫	bwwxo
鹎	bwpno
棓	bwmko
椑	bwmuo
褙	bwpoo
糒	bwmyo
臂	bwuoo
鐾	bwujo
鞁	bwgpo
糙	ccmko
嘈	cckoo
芔	cccco
蔡	cdcuo
彩	cdcpo
嶒	cguoo
伧	chrvo
磁	ciuyo
辞	ciuxo
雌	civvo
慈	cibxo
泚	cidbo
疵	cibbo
差	ciygo
茈	cicbo
兹	cibyo
佽	cirqo
鹚	cibno
莿	cicdo
𫚖	civyo
残	cjdjo
粲	cjdmo
䅟	cjhpo
挫	cofro
措	cofoo
撮	cofyo
嵯	cougo
鹾	cobgo
撺	crfio
镩	crjio
枞	csmro
璁	cswxo
苁	cscro
徂	curqo
卒	cuwuo
毳	cvmmo
悴	cvxuo
漼	cvdvo
榱	cvmvo
搭	dafko
嗒	dakko
跶	dazdo
笪	davdo
靼	dagdo
溚	dadko
鿎	daudo
𫟼	dajdo
纛	dcfxo
蹈	dczjo
捯	dcfdo
忉	dcxdo
舠	dcvdo
待	ddrco
贷	ddrbo
袋	ddryo
黛	ddrho
岱	ddruo
迨	ddzko
呔	ddkto
绐	ddsko
大	ddaro
垈	ddrto
凳	dgbjo
戥	dgogo
嶝	dgubo
菪	dhcuo
𣗋	dhmxo
笛	divyo
递	dizdo
氐	diudo
骶	diguo
邸	diueo
碲	diujo
籴	dirmo
砥	diuuo
鞮	digzo
涤	didmo
荻	dicho
菂	dicuo
娣	dindo
诋	diyuo
柢	dimuo
杕	dimdo
坻	dituo
踶	dizzo
媂	dinjo
提	difzo
蹢	dizgo
的	dibuo
玓	diwuo
𤧛	diwjo
𬱖	diyyo
旦	djoao
啖	djkho
掸	djfuo
澹	djdko
聃	djero
殚	djduo
憺	djxko
膻	djodo
疍	djzdo
瘅	djbuo
眈	djoeo
赕	djbho
郸	djbeo
疸	djbdo
𫢸	djruo
腚	dkozo
锭	dkjzo
啶	dkkzo
酊	dkydo
殿	dmuuo
颠	dmuyo
掂	dmfvo
癫	dmbyo
奠	dmbdo
靛	dmfzo
淀	dmdzo
癜	dmbuo
琔	dmwzo
叼	dnkdo
雕	dnkvo
貂	dnvko
碉	dnuko
铫	dnjvo
铞	dnjjo
汈	dnddo
朵	dojmo
铎	dojfo
踱	dozyo
咄	dokio
埵	dotto
哚	dokmo
饳	douio
㙍	dotyo
谍	dpymo
垤	dptto
蹀	dpzmo
𫶇	dpujo
耑	drueo
簖	drvjo
冻	dsddo
鸫	dsdno
硐	dsuko
岽	dsudo
胨	dsodo
睹	duooo
犊	dundo
椟	dumdo
渎	duddo
阇	dumoo
厾	duvqo
黩	duldo
髑	dugio
𬭊	dujto
墩	dytwo
遁	dyzoo
趸	dywzo
镦	dyjwo
蹾	dyzwo
砘	dyuto
窦	dzbdo
讹	eeybo
鳄	eeyko
鄂	eekeo
蛾	eeiwo
颚	eekyo
轭	eeivo
屙	eeuko
锷	eejko
鹗	eekno
峨	eeuwo
萼	eecko
垩	eeyto
噩	eewko
哦	eekwo
婀	eenko
苊	eecvo
𫫇	eekxo
洱	erdeo
鲕	eryeo
耏	erepo
陑	ereeo
垡	farto
粪	ffmgo
焚	ffmho
奋	ffdto
偾	ffrbo
棻	ffcmo
棼	ffmfo
鲼	ffybo
瀵	ffdgo
翂	ffxfo
坋	fftfo
𣸣	ffdbo
丰	fgslo
凤	fgjyo
蜂	fgifo
沣	fgdfo
酆	fgueo
砜	fgufo
崶	fguco
赗	fgboo
鲂	fhyfo
肪	fhofo
牥	fhnfo
范	fjcvo
番	fjcto
帆	fjjfo
樊	fjmdo
矾	fjufo
幡	fjjto
燔	fjhto
# 氾	fjdvo
蘩	fjcxo
蹯	fjzto
墦	fjtto
𬸪	fjcno
夫	fuero
福	fupto
父	fubxo
赋	fubvo
弗	fuglo
伏	furqo
敷	fufwo
傅	furco
釜	fufbo
斧	fufjo
腹	fuowo
浮	fudzo
拂	fuffo
腐	fugro
俘	furzo
腑	fuoco
辐	fuito
孚	fuvzo
佛	furfo
肤	fuofo
阜	fupuo
凫	funjo
祓	fupyo
芣	fucbo
鄜	fuleo
涪	fudko
黻	fuyyo
苻	fucco
拊	fufco
郛	fuveo
簠	fuvmo
绂	fusyo
宓	fubbo
茯	fucqo
赙	fubco
莩	fuczo
趺	fuzfo
茀	fucfo
蝮	fuiwo
稃	fuhzo
匐	fubto
罘	fusbo
驸	fumco
怫	fuxfo
袱	fupqo
洑	fudqo
鲋	fuyco
菔	fucyo
滏	fudbo
芾	fucjo
幞	fujfo
咐	fukco
绋	fusfo
蚨	fuifo
韨	fuwyo
琈	fuwzo
垺	futzo
讣	fuybo
蜉	fuizo
砆	fuufo
㕮	fukfo
㳇	fudfo
𫖯	fuvyo
肥	fwobo
斐	fwfwo
吠	fwkqo
啡	fwkfo
腓	fwofo
淝	fwdbo
蜚	fwfio
朏	fwoio
诽	fwyfo
翡	fwfxo
芾	fwcjo
棐	fwfmo
剕	fwfdo
𬴂	fwmfo
噶	gakro
咖	gakko
旮	gajoo
锆	gcjko
郜	gcneo
槔	gcmuo
羔	gcyho
槁	gcmko
筶	gcvko
钙	gdjgo
𬮿	gdejo
歌	gekqo
咯	gekko
阁	gemko
镉	gejgo
革	gecuo
嗝	gekgo
胳	geoko
盖	geymo
疙	gebvo
饹	geuko
仡	gervo
合	gerko
虼	geivo
塥	getgo
赓	gggbo
鲠	ggygo
鹒	gggno
罡	ghsvo
矼	ghugo
扛	ghfgo
冮	ghdgo
㭎	ghmxo
鿍	ghtfo
柑	gjmgo
苷	gjcgo
橄	gjmwo
酐	gjygo
鳡	gjyxo
泔	gjdgo
坩	gjtgo
旰	gjogo
澉	gjdwo
掴	gkfyo
洸	gldgo
椁	gomzo
崞	gouzo
呙	gokno
帼	gojyo
蜾	goigo
埚	gotno
𬇹	godyo
冠	grbco
贯	grmbo
毌	grmlo
掼	grfbo
琯	grwlo
鳏	gryxo
筦	grvyo
涫	grdlo
莞	grcyo
鳤	grylo
蒄	grcco
宫	gsbko
功	gsglo
汞	gsguo
贡	gsgbo
恭	gsgxo
巩	gsgfo
䢼	gsgeo
硔	gsugo
蛊	guimo
咕	gukgo
瞽	gutoo
菰	gucgo
辜	gugxo
毂	gutuo
觚	gudgo
酤	guygo
锢	gujgo
崮	guugo
堌	gutgo
蛄	guigo
汩	gudoo
鹘	gugno
牯	gungo
嘏	gugyo
鹄	gunno
痼	gubgo
羖	guyuo
瀔	guduo
臌	guovo
馉	guuoo
牿	gunko
蓇	gucoo
𦙶	guogo
桂	gvmto
珪	gvwto
邽	gvteo
鲑	gvyto
刿	gvudo
桧	gvmyo
鳜	gvyqo
鬶	gvfgo
宄	gvbjo
皈	gvbyo
炅	gvoho
姽	gvnvo
筀	gvvto
剐	gxkdo
鸹	gxuno
衮	gyygo
购	gzbgo
彀	gztuo
枸	gzmjo
姤	gznko
雊	gzjvo
句	gzbko
笱	gzvjo
嚎	hckuo
蚝	hcimo
蒿	hccko
毫	hcwmo
皞	hcbuo
濠	hcduo
灏	hcdyo
鄗	hcweo
淏	hcdto
颢	hcoyo
嚆	hckko
嗐	hdkko
咳	hdkro
何	herko
呵	hekko
阖	hemmo
褐	hepro
颌	heryo
郃	hereo
涸	hedgo
鹖	heono
貉	hevko
吓	hekxo
壑	hebto
龢	herho
熇	hehko
菏	hecko
阂	hemro
隺	hebvo
鞨	hegro
𬌗	heyko
珩	hgwdo
鸻	hgrno
行	hgrdo
沆	hhdjo
汗	hjdgo
函	hjkuo
焓	hjhko
罕	hjbgo
涵	hjduo
翰	hjuxo
憾	hjxxo
瀚	hjdxo
晗	hjoko
捍	hjfgo
邗	hjgeo
暵	hjoto
顸	hjgyo
撖	hjfwo
浛	hjdko
虷	hjigo
㘎	hjkwo
崡	hjuuo
嵅	hjuko
蔊	hjcgo
篁	hlvwo
幌	hljgo
恍	hlxgo
潢	hldbo
湟	hldwo
肓	hlwoo
锽	hljwo
惶	hlxwo
鳇	hlywo
癀	hlbbo
蟥	hlibo
瑝	hlwwo
㿠	hlbgo
𨱑	hljbo
豁	hobgo
伙	horho
藿	hocvo
钬	hojho
濩	hodyo
# 夥	hogxo
嚄	hokyo
漷	hodeo
劐	hocdo
佸	horuo
锪	hojxo
㸌	hohvo
欢	hryqo
涣	hrdro
洹	hrddo
圜	hrkyo
郇	hrbeo
鲩	hryyo
宦	hrbio
逭	hrzlo
缳	hrsyo
鹮	hrsno
澴	hrdyo
镮	hrjyo
漶	hrdxo
痪	hrbro
㬊	hroyo
荁	hrcdo
𤩽	hrwqo
虹	hsigo
鸿	hsdno
泓	hsdso
吽	hskno
訇	hsbko
蕻	hscgo
唝	hskbo
谼	hsggo
𬭎	hsjso
湖	hudoo
和	huhko
沪	hudho
弧	huggo
唬	hukjo
斛	huddo
核	humro
瑚	huwoo
瓠	hudgo
縠	hutuo
扈	huhbo
烀	huhho
煳	huhoo
惚	huxxo
鹘	hugno
唿	hukxo
鹱	hunyo
鳠	huyyo
琥	huwjo
淴	hudxo
浒	hudwo
醐	huyoo
槲	humdo
囫	hukwo
戽	huhdo
嫭	hunho
轷	huiho
猢	huqoo
昒	huowo
喙	hvkuo
慧	hvfxo
恢	hvxho
卉	hvuco
蕙	hvcxo
秽	hvhxo
麾	hvgmo
晦	hvomo
诲	hvymo
荟	hvcyo
浍	hvdyo
洄	hvdko
翚	hvxio
翙	hvuxo
咴	hvkho
珲	hvwio
蛔	hviko
彗	hvfeo
哕	hvkxo
诙	hvyho
溃	hvdbo
蟪	hvixo
桧	hvmyo
烠	hvhoo
硊	hvuvo
㧑	hvfwo
𬤝	hvyxo
𬭬	hvjeo
华	hxruo
骅	hxmuo
觟	hxdto
溷	hyduo
馄	hyubo
诨	hyyio
碈	hyuoo
喉	hzkuo
候	hzruo
垕	hzito
逅	hzzko
郈	hzieo
茬	iacto
搽	iafmo
槎	iamgo
岔	iafuo
檫	iamuo
杈	iamio
锸	iajjo
诧	iayqo
馇	iaudo
喳	iakdo
𥻗	iamdo
嘲	ickoo
焯	ichuo
豺	idvco
撤	iefwo
砗	ieuio
嗔	ifkbo
谌	ifybo
瞋	ifobo
忱	ifxeo
煁	ifhbo
榇	ifmmo
疢	ifbho
棽	ifmvo
郴	ifmeo
程	ighwo
秤	ighpo
丞	iglao
枨	igmio
埕	igtwo
骋	igmko
澂	igdwo
琤	igwyo
偁	igrro
蛏	igito
赪	igibo
噌	igkoo
酲	igywo
柽	igmto
瞠	igoto
珹	igwio
晟	igoio
铛	igjeo
憕	igxbo
尝	ihxyo
昌	ihooo
敞	ihxwo
鬯	ihkbo
怅	ihxio
倡	ihroo
嫦	ihnjo
氅	ihxmo
伥	ihrio
鲳	ihyoo
菖	ihcoo
徜	ihrko
鲿	ihyyo
惝	ihxko
敕	iiuwo
翅	iivxo
豉	iidvo
叱	iikbo
笞	iivko
哧	iikio
饬	iiulo
褫	iipjo
魑	iigno
摛	iifno
鸱	iiuno
瘛	iibxo
漦	iiwuo
墀	iitno
茌	iicto
眵	iioxo
篪	iivjo
傺	iiruo
踟	iizko
胣	iioyo
痓	iibto
搀	ijfdo
澶	ijddo
蟾	ijiko
襜	ijpko
谄	ijyjo
镡	ijjuo
刬	ijjdo
辿	ijzuo
巉	ijuto
羼	ijuyo
廛	ijgto
潺	ijdzo
梴	ijmvo
孱	ijuzo
骣	ijmzo
镵	ijjto
瀍	ijdto
冁	ijbyo
搋	ikfjo
疮	ilbvo
逴	iozuo
喘	irkeo
翀	isxvo
艟	isvlo
珫	iswyo
漴	isduo
㳘	isdyo
褚	iupoo
杵	iumwo
雏	iudvo
橱	iumco
畜	iuxto
刍	iudeo
俶	iuryo
楮	iumoo
矗	iuuqo
滁	iudmo
樗	iumko
憷	iuxzo
斶	iujio
摴	iufko
蜍	iuimo
濋	iudzo
蹰	iuzco
䢺	iuieo
𬺓	iuvzo
棰	ivmto
春	iyioo
唇	iyiko
瑃	iywoo
䲠	iyyoo
筹	izvco
稠	izhko
雠	izryo
俦	izrco
椆	izmko
犨	izrno
踌	izzco
侴	izrdo
金	jbrbo
今	jbrvo
尽	jbido
锦	jbjjo
浸	jbdyo
谨	jbywo
槿	jbmwo
襟	jbpuo
矜	jbmvo
瑨	jbwoo
噤	jbkuo
溍	jbdoo
觐	jbcjo
祲	jbpyo
浕	jbddo
荩	jbcdo
殣	jbdwo
珒	jbwyo
廑	jbgwo
琎	jbwjo
卺	jblvo
既	jigwo
鸡	jiyno
极	jimjo
系	jipxo
继	jismo
计	jiyuo
给	jisko
技	jifvo
击	jifko
纪	jisjo
寂	jibyo
积	jihvo
暨	jigdo
脊	jiroo
疾	jibuo
箕	jivbo
激	jidwo
济	jidqo
叽	jikjo
饥	jiujo
冀	jibgo
绩	jisbo
棘	jiuuo
藉	jicoo
稷	jihwo
妓	jinvo
汲	jidjo
蓟	jicdo
伋	jirjo
赍	jiubo
髻	jieko
殛	jidao
鲫	jiyeo
伎	jirvo
稽	jihoo
偈	jirro
畸	jitko
圾	jitjo
霁	jiyqo
嫉	jinuo
讥	jiyjo
奇	jidko
笈	jivjo
骥	jimgo
嵴	jiuoo
唧	jikeo
齑	jiqjo
乩	jivvo
戢	jigeo
畿	jigto
芰	jicvo
嵇	jihuo
洎	jidzo
罽	jisdo
笄	jivko
楫	jimeo
跻	jizqo
麂	jiljo
垍	jitzo
姞	jinko
荠	jicqo
蕺	jiceo
屐	jiuvo
跽	jizxo
漈	jiduo
悸	jixzo
缉	jiseo
剞	jiddo
佶	jirko
惎	jicxo
耤	jiloo
虮	jiijo
芨	jicjo
瘠	jiboo
蹐	jizoo
蒺	jicuo
墼	jiito
鹡	jirno
㴔	jidxo
枅	jimko
𪟝	jiflo
𫌀	jipbo
𫓯	jijto
𫓹	jijbo
𬯀	jieqo
𬶨	jigyo
颈	jkjyo
警	jkcko
茎	jkcjo
荆	jkcdo
竞	jklxo
菁	jkcoo
晶	jkooo
靖	jkloo
璟	jkwxo
胫	jkojo
粳	jkmgo
劲	jkjlo
旌	jkfuo
泾	jkdjo
丼	jkjdo
竫	jklyo
儆	jkrwo
憬	jkxxo
倞	jkrxo
靓	jkfjo
鼱	jkjoo
璥	jkwwo
猄	jkqxo
䴖	jkfno
酱	jllyo
姜	jlyno
桨	jllmo
浆	jlluo
疆	jlgjo
缰	jlsjo
鳉	jlyco
豇	jldgo
洚	jldfo
强	jlgio
耩	jllro
弶	jlgxo
茳	jlcgo
煎	jmbho
剪	jmbdo
简	jmvoo
舰	jmvjo
贱	jmbjo
健	jmryo
歼	jmdqo
荐	jmczo
溅	jmdjo
拣	jmfdo
僭	jmroo
坚	jmlto
鉴	jmljo
涧	jmdoo
践	jmzjo
蹇	jmbzo
艰	jmygo
翦	jmbxo
菅	jmclo
俭	jmrqo
柬	jmuro
缣	jmsjo
锏	jmjoo
睑	jmoqo
鞬	jmgyo
謇	jmbko
湔	jmddo
踺	jmzyo
犍	jmnyo
槛	jmmmo
蒹	jmcjo
搛	jmfjo
鲣	jmyto
枧	jmmjo
鹣	jmjno
楗	jmmyo
暕	jmojo
谫	jmydo
趼	jmzko
饯	jmujo
鞯	jmgzo
牮	jmrno
鳒	jmyjo
胶	jnofo
浇	jndwo
绞	jnsfo
轿	jnilo
蛟	jnifo
徼	jnrfo
骄	jnmlo
礁	jnuho
饺	jnufo
皎	jnbfo
郊	jnweo
湫	jndho
姣	jnnfo
酵	jnyzo
校	jnmfo
滘	jndko
鹪	jnrno
醮	jnyho
皦	jnbwo
艽	jncjo
茭	jncfo
峤	jnulo
璬	jnwwo
侥	jnrwo
斠	jnfdo
皭	jnbco
藠	jncbo
噍	jnkho
僬	jnrho
恔	jnxfo
䴔	jnwno
街	jprto
戒	jpgco
介	jprlo
捷	jpfzo
洁	jpdko
芥	jpcjo
藉	jpcoo
羯	jpyro
颉	jptyo
桔	jpmko
价	jprjo
疖	jpbeo
孑	jplao
诫	jpyco
婕	jpnzo
疥	jpbjo
碣	jpuro
絜	jpfxo
劼	jptlo
拮	jpfko
檞	jpmno
骱	jpgjo
湝	jpdbo
楷	jpmbo
蜐	jpilo
鲒	jpyko
讦	jpygo
喈	jpkbo
悈	jpxco
岊	jpbuo
㛃	jpfno
鸠	jqjno
韭	jqfao
舅	jqjlo
咎	jqwko
臼	jqpao
鹫	jqwno
疚	jqbjo
氿	jqdjo
阄	jqmdo
桕	jqmjo
隽	jrrno
鹃	jrkno
眷	jrjoo
锩	jrjvo
桊	jrjmo
扃	jshko
颎	jsbyo
掘	jtfio
角	jtdyo
玦	jtwgo
噘	jtkqo
攫	jtfyo
谲	jtyko
抉	jtfgo
傕	jtrvo
桷	jtmyo
觖	jtdgo
獗	jtqqo
劂	jtido
砄	jtugo
㵐	jtdqo
𫔎	jtjko
𫘝	jtmgo
局	juuko
居	juugo
拒	jufjo
狙	juqqo
钜	jujjo
矩	juujo
遽	juzuo
莒	jucko
掬	jufmo
驹	jumjo
踞	juzgo
桔	jumko
锔	jujko
苴	jucqo
炬	juhjo
咀	jukqo
椐	jumgo
鞫	jugko
屦	juuno
倨	jurgo
雎	juqvo
苣	jucjo
疽	jubqo
榉	jumfo
飓	jufbo
窭	jubno
醵	juyuo
龃	juvqo
泃	judjo
砠	juuqo
踽	juzyo
犋	junbo
澽	juduo
弆	juqco
䴗	juono
𬶋	juyjo
价	jxrjo
佳	jxrto
伽	jxrko
驾	jxlmo
痂	jxbko
镓	jxjuo
颊	jxjyo
葭	jxcyo
郏	jxjeo
瘕	jxbyo
铗	jxjjo
戛	jxbgo
茄	jxcko
胛	jxojo
槚	jxmbo
跏	jxzko
袈	jxlyo
泇	jxdko
𬂩	jxmjo
郡	jyyeo
麇	jylho
皲	jybpo
莙	jycko
龟	jyddo
隽	jyrno
葰	jycwo
鲪	jyyko
䐃	jyoho
咖	kakko
咔	kakbo
㸆	kchfo
锎	kdjko
慨	kdxwo
闿	kdmjo
锴	kdjbo
忾	kdxqo
剀	kdudo
嗑	kekmo
珂	kewko
棵	kemgo
颏	kewyo
窠	kebgo
髁	keggo
疴	kebko
坷	ketko
蝌	keido
炣	kehko
岢	keuko
溘	kedmo
稞	kehgo
匼	kekko
恳	kfgxo
闶	khmjo
堪	kjtbo
龛	kjrlo
阚	kjmwo
戡	kjcgo
莰	kjcqo
衎	kjrgo
崁	kjuqo
嵁	kjubo
墈	kjtlo
磡	kjulo
郐	kkreo
侩	kkryo
匡	klkwo
诳	klywo
眶	klowo
夼	kldio
洭	kldwo
硿	ksugo
骷	kuggo
夔	kvbwo
溃	kvdbo
馈	kvubo
愦	kvxbo
骙	kvmto
跬	kvzto
悝	kvxlo
戣	kvbgo
喟	kvkoo
喹	kvkto
蒉	kvcbo
岿	kvueo
暌	kvoto
𫠆	kvvyo
堃	kyfto
鹍	kyono
醌	kyybo
壸	kytyo
抠	kzfqo
芤	kzcvo
喇	lakdo
落	lacko
旯	laojo
蝲	laido
砬	laulo
鳞	lbyfo
麟	lblfo
凛	lbduo
璘	lbwfo
赁	lbrbo
吝	lbwko
潾	lbdfo
粼	lbmvo
嶙	lbufo
遴	lbzfo
瞵	lbofo
翷	lbmxo
𬴊	lbmfo
酪	lcyko
落	lccko
痨	lcblo
铹	lcjlo
嫪	lcnpo
荖	lcclo
涞	lddlo
崃	ldulo
俫	ldrlo
嘞	leklo
棱	lgmwo
堎	lgtwo
朗	lhloo
榔	lhmeo
桹	lhmlo
塱	lhlto
蒗	lhclo
稂	lhhlo
㮾	lhlmo
蓢	lhcoo
立	liwbo
理	liwlo
粒	limlo
梨	lihmo
黎	lihuo
戾	lihqo
藜	licuo
厘	liilo
犁	lihno
笠	livlo
璃	liwno
厉	liiwo
隶	liyuo
骊	limdo
荔	liclo
俪	lirdo
醴	liybo
砺	liuwo
澧	lidbo
鬲	lialo
罹	lisvo
疠	libwo
俚	lirlo
喱	liklo
篱	livno
漓	lidno
浬	lidlo
蓠	licno
蠡	lihio
唳	likqo
溧	lidmo
蜊	liido
鲡	liydo
醨	liyno
粝	limwo
鹂	lilno
黧	lihho
缡	lisno
傈	lirmo
疬	liblo
跞	lizlo
浰	liddo
雳	liylo
猁	liqdo
篥	livmo
㰀	limuo
𫵷	liulo
拦	ljflo
澜	ljdjo
榄	ljmjo
婪	ljmno
罱	ljsgo
襕	ljpjo
漤	ljdno
𬒗	ljujo
陵	lkewo
翎	lkrxo
聆	lkeso
泠	lkdso
伶	lkrso
苓	lkcso
羚	lkyso
呤	lkkso
瓴	lkrwo
鲮	lkywo
舲	lkvso
棱	lkmwo
酃	lkyeo
柃	lkmso
〇	lkvvo
鸰	lkrno
凉	lldxo
良	lldgo
粱	lldmo
椋	llmxo
俍	llrlo
辌	llixo
𬜯	llclo
镰	lmjjo
濂	lmdjo
殓	lmdqo
琏	lmwio
蔹	lmcwo
潋	lmdwo
梿	lmmio
浰	lmddo
裣	lmpqo
瑓	lmwjo
𬶠	lmyjo
撂	lnfko
疗	lnblo
髎	lngpo
寥	lnbpo
橑	lnmxo
镣	lnjxo
蹽	lnzxo
漻	lndpo
鹩	lndno
咯	lokko
啰	lokxo
骡	lomxo
萝	locxo
雒	lowvo
蠃	lowio
泺	lodlo
荦	locno
漯	lodxo
捋	lofco
蓏	locgo
裂	lpdyo
洌	lpddo
趔	lptdo
峛	lpudo
䴕	lpdno
刘	lqwdo
琉	lqwio
浏	lqddo
榴	lqmto
鎏	lqdjo
馏	lquto
镏	lqjto
锍	lqjio
珋	lqweo
罶	lqsto
瑬	lqdyo
飗	lqfto
碌	lquuo
鹠	lqpno
栾	lrwmo
銮	lrwjo
峦	lrwuo
娈	lrwno
脔	lrwro
孪	lrwzo
陇	lselo
垄	lslto
砻	lsluo
哢	lskco
窿	lsbuo
昽	lsolo
弄	lswco
漋	lsduo
𬕂	lsvbo
䂮	ltfuo
陆	luejo
露	luyko
卤	lubxo
虏	luhlo
掳	luflo
庐	lugho
橹	lumoo
颅	lubyo
泸	luduo
赂	lubko
鲈	luyuo
菉	lucuo
蕗	lucko
漉	ludlo
栌	lumuo
箓	luvuo
琭	luwuo
辘	luilo
逯	luzuo
鸬	lubno
甪	lupyo
轳	luiuo
勠	luxlo
澛	ludoo
稑	luhto
𬬻	lujuo
捋	lvfco
履	lvuwo
缕	lvsno
侣	lvrko
闾	lvmko
